what,kind,bundleId,bundleVersion,description,time
started,bundle,org.tigris.subversion.clientadapter,1.5.1,org.tigris.subversion.clientadapter,1220557072443
started,bundle,org.tigris.subversion.subclipse.core,1.4.3,org.tigris.subversion.subclipse.core,1220557072443
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,org.tigris.subversion.subclipse.mylyn,1220557072443
started,bundle,org.tigris.subversion.subclipse.ui,1.4.3,org.tigris.subversion.subclipse.ui,1220557072443
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220557077432
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220557078882
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1220557078882
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1220557078882
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.refresh,1220557079536
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220557085055
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220557106897
opened,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1220557107817
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1220557107879
executed,command,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.edit.text.openLocalFile,1220557107895
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1220557109407
closed,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1220557109407
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220557116641
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220557145221
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220557151240
started,bundle,org.tigris.subversion.clientadapter.javahl,1.5.1.1,org.tigris.subversion.clientadapter.javahl,1220557169453
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.5.1.1,org.tigris.subversion.clientadapter.svnkit,1220557169469
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220557171901
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1220557171917
executed,command,org.eclipse.ui,3.4.0.I20080610-1200,org.eclipse.ui.file.import,1220557171917
started,bundle,org.eclipse.cdt.managedbuilder.core,5.0.0.200806171202,org.eclipse.cdt.managedbuilder.core,1220557172073
