what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1220557172416
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,5.0.0.200806171202,org.eclipse.cdt.managedbuilder.gnu.ui,1220557172650
started,bundle,org.eclipse.debug.core,3.4.0.v20080612,org.eclipse.debug.core,1220557172697
started,bundle,org.eclipse.debug.ui,3.4.0.v20080529-1300,org.eclipse.debug.ui,1220557172790
started,bundle,org.eclipse.cdt.make.core,5.0.0.200806171202,org.eclipse.cdt.make.core,1220557172868
opened,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1220557179994
started,bundle,org.eclipse.search,3.4.0.v20080603-2000,org.eclipse.search,1220557195900
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220557200032
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220557206082
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220557210292
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220557211929
started,bundle,org.eclipse.cdt.launch,5.0.0.200806171202,org.eclipse.cdt.launch,1220557213193
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1220557216763
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220557227835
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220557271324
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1220557272198
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220557280524
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220557283456
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220557360658
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220557360939
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220557360955
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220557361033
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220557363434
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220557365087
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220557365087
