what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1220619692906
closed,editor,org.eclipse.cdt.make.ui,5.0.0.200806171202,org.eclipse.cdt.make.editor,1220619692906
executed,command,org.eclipse.ui.ide,3.4.0.I20080606-1300,org.eclipse.ui.project.buildAll,1220619695531
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220619695797
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220619704281
opened,editor,org.eclipse.cdt.make.ui,5.0.0.200806171202,org.eclipse.cdt.make.editor,1220619704578
activated,editor,org.eclipse.cdt.make.ui,5.0.0.200806171202,org.eclipse.cdt.make.editor,1220619704656
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1220619706187
opened,editor,org.eclipse.cdt.make.ui,5.0.0.200806171202,org.eclipse.cdt.make.editor,1220619708250
activated,editor,org.eclipse.cdt.make.ui,5.0.0.200806171202,org.eclipse.cdt.make.editor,1220619708344
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1220619715015
activated,editor,org.eclipse.cdt.make.ui,5.0.0.200806171202,org.eclipse.cdt.make.editor,1220619715265
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1220619716625
activated,editor,org.eclipse.cdt.make.ui,5.0.0.200806171202,org.eclipse.cdt.make.editor,1220619716875
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220619721640
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220619731484
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220619736765
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220619737265
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1220619741952
deactivated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220619756577
activated,workbench,org.eclipse.ui.workbench,3.4.0.I20080606-1300,,1220619779342
opened,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1220619787483
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1220619787592
activated,view,org.eclipse.ui.navigator.resources,3.3.100.I20080606-1300,org.eclipse.ui.navigator.ProjectExplorer,1220619790795
opened,editor,org.eclipse.cdt.make.ui,5.0.0.200806171202,org.eclipse.cdt.make.editor,1220619795311
